Date	Team	Player	IsStarter	MP	FG	FGA	FGpct	2P	2PA	2Ppct	3P	3PA	3Ppct	FT	FTA	FTpct	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
2017-02-04	Bradley	Graham Woodward	Reserve	21	4	7	.571	2	2	1.000	2	5	.400	2	2	1.000	0	1	1	3	0	0	2	4	12	
2017-02-04	Bradley	Casey Schlatter	Reserve	21	3	5	.600	2	4	.500	1	1	1.000	2	2	1.000	2	5	7	4	2	0	2	3	9	
2017-02-04	Bradley	Billy Wampler	Reserve	12	1	5	.200	0	0		1	5	.200	1	3	.333	0	0	0	0	3	0	2	1	4	
2017-02-04	Bradley	C.J. Rivers	Reserve	10	0	2	.000	0	1	.000	0	1	.000	1	2	.500	2	0	2	1	1	0	0	1	1	
2017-02-04	Bradley	Kory Kuenstling	Reserve	9	2	3	.667	2	3	.667	0	0		0	0		0	1	1	0	0	0	0	3	4	
2017-02-04	Bradley	Jacob Enevold	Reserve	4	0	0		0	0		0	0		0	0		0	1	1	0	0	0	0	1	0	
2017-02-04	Drake	Darrell Brown	Starter	34	3	12	.250	3	8	.375	0	4	.000	14	15	.933	0	2	2	5	0	0	1	2	20	
2017-02-04	Drake	Donte Thomas	Starter	32	7	9	.778	6	8	.750	1	1	1.000	4	7	.571	2	7	9	1	0	0	0	2	19	
2017-02-04	Drake	Jayden Hodgson	Starter	32	2	4	.500	0	2	.000	2	2	1.000	0	0		1	2	3	7	1	1	2	3	6	
2017-02-04	Drake	Koch Bar	Starter	23	2	6	.333	2	6	.333	0	0		6	8	.750	3	1	4	0	0	1	0	5	10	
2017-02-04	Drake	Nate Kennell	Starter	21	1	5	.200	0	1	.000	1	4	.250	0	0		0	1	1	2	0	0	3	2	3	
2017-02-04	Drake	Luuk van Bree	Reserve	23	3	8	.375	2	3	.667	1	5	.200	0	0		0	3	3	0	2	0	1	4	7	
2017-02-04	Drake	JoJo McGlaston	Reserve	22	3	6	.500	1	3	.333	2	3	.667	3	5	.600	0	6	6	1	1	1	2	0	11	
2017-02-04	Drake	Antoine Pittman	Reserve	13	1	3	.333	0	2	.000	1	1	1.000	0	0		1	2	3	0	1	1	3	0	3	
2017-02-04	Brigham Young	Gabe Taylor	Starter	38	7	16	.438	6	14	.429	1	2	.500	5	7	.714	2	3	5	2	0	2	2	3	20	
2017-02-04	Brigham Young	D'Marques Tyson	Starter	37	5	12	.417	2	6	.333	3	6	.500	0	0		0	1	1	0	1	0	1	4	13	
2017-02-04	Brigham Young	Jazz Johnson	Starter	36	3	11	.273	3	7	.429	0	4	.000	4	4	1.000	0	3	3	3	0	0	3	4	10	
2017-02-04	Brigham Young	Rashad Jackson	Starter	33	2	11	.182	1	5	.200	1	6	.167	3	4	.750	0	3	3	0	3	0	3	4	8	
2017-02-04	Brigham Young	Philipp Hartwich	Starter	16	0	1	.000	0	1	.000	0	0		2	2	1.000	1	8	9	0	0	1	0	5	2	
2017-02-04	Brigham Young	Joseph Smoyer	Reserve	14	2	5	.400	2	5	.400	0	0		4	4	1.000	2	1	3	0	0	0	1	2	8	
2017-02-04	Brigham Young	Andre Ferguson	Reserve	14	0	1	.000	0	1	.000	0	0		0	0		0	0	0	1	0	0	2	4	0	
2017-02-04	Brigham Young	Ray Barreno	Reserve	12	0	1	.000	0	1	.000	0	0		1	2	.500	2	8	10	2	0	0	1	5	1	
2017-02-04	Portland	L.J. Rose	Starter	33	3	7	.429	3	3	1.000	0	4	.000	4	5	.800	0	4	4	5	2	0	0	3	10	
2017-02-04	Portland	Eric Mika	Starter	32	5	15	.333	5	15	.333	0	0		13	19	.684	4	8	12	2	2	3	0	3	23	
2017-02-04	Portland	TJ Haws	Starter	32	4	11	.364	2	5	.400	2	6	.333	5	6	.833	0	2	2	1	1	1	2	3	15	
2017-02-04	Portland	Yoeli Childs	Starter	31	6	8	.750	6	8	.750	0	0		3	5	.600	2	8	10	1	2	3	2	3	15	
2017-02-04	Portland	Nick Emery	Starter	24	1	6	.167	1	5	.200	0	1	.000	0	0		0	2	2	1	0	0	1	4	2	
2017-02-04	Portland	Davin Guinn	Reserve	20	1	3	.333	0	1	.000	1	2	.500	0	0		1	1	2	0	2	0	0	0	3	
2017-02-04	Portland	Elijah Bryant	Reserve	14	1	4	.250	1	1	1.000	0	3	.000	3	4	.750	0	3	3	2	0	0	3	1	5	
2017-02-04	Portland	Steven Beo	Reserve	6	0	0		0	0		0	0		0	0		0	0	0	0	0	0	1	2	0	
2017-02-04	Portland	Colby Leifson	Reserve	3	0	0		0	0		0	0		0	0		0	0	0	0	0	0	1	0	0	
2017-02-04	Portland	Jamal Aytes	Reserve	3	0	0		0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	
2017-02-04	Portland	Corbin Kaufusi	Reserve	2	0	0		0	0		0	0		0	0		0	0	0	0	0	0	0	1	0	
2017-02-04	Cal Poly	Dikymbe Martin	Starter	37	5	10	.500	4	7	.571	1	3	.333	6	6	1.000	0	3	3	3	1	1	3	2	17	
2017-02-04	Cal Poly	Secean Johnson	Starter	37	2	9	.222	2	8	.250	0	1	.000	5	6	.833	4	9	13	3	1	0	1	1	9	
2017-02-04	Cal Poly	Chance Murray	Starter	35	2	6	.333	1	4	.250	1	2	.500	0	0		1	7	8	2	0	0	3	3	5	
2017-02-04	Cal Poly	Alex Larsson	Starter	24	3	4	.750	3	4	.750	0	0		2	2	1.000	1	3	4	0	0	0	1	2	8	
2017-02-04	Cal Poly	James Jackson	Starter	8	0	2	.000	0	2	.000	0	0		0	0		1	1	2	0	0	0	4	2	0	
2017-02-04	Cal Poly	Brandon Rosser	Reserve	32	5	11	.455	2	4	.500	3	7	.429	3	4	.750	2	4	6	2	0	0	1	1	16	
2017-02-04	Cal Poly	Menno Dijkstra	Reserve	16	3	4	.750	1	1	1.000	2	3	.667	3	3	1.000	1	1	2	2	1	0	0	2	11	
2017-02-04	Cal Poly	Koh Flippin	Reserve	11	0	1	.000	0	0		0	1	.000	1	2	.500	0	2	2	0	0	0	0	0	1	
2017-02-04	UC-Riverside	Victor Joseph	Starter	38	9	22	.409	6	9	.667	3	13	.231	1	3	.333	0	0	0	1	1	0	0	2	22	
2017-02-04	UC-Riverside	Ridge Shipley	Starter	37	3	12	.250	0	3	.000	3	9	.333	0	0		1	5	6	4	0	0	2	0	9	
2017-02-04	UC-Riverside	Kyle Toth	Starter	31	3	10	.300	1	3	.333	2	7	.286	0	0		0	2	2	2	1	1	0	0	8	
2017-02-04	UC-Riverside	Luke Meikle	Starter	26	1	5	.200	1	2	.500	0	3	.000	0	0		1	3	4	1	2	1	0	1	2	
2017-02-04	UC-Riverside	Aleks Abrams	Starter	11	1	2	.500	1	2	.500	0	0		0	2	.000	2	2	4	0	0	0	2	3	2	
2017-02-04	UC-Riverside	Zach Gordon	Reserve	20	0	1	.000	0	1	.000	0	0		1	2	.500	6	6	12	0	0	0	1	4	1	
2017-02-04	UC-Riverside	Jakub Niziol	Reserve	15	1	3	.333	0	0		1	3	.333	0	0		0	0	0	2	2	0	1	1	3	
2017-02-04	UC-Riverside	Donovan Fields	Reserve	14	3	4	.750	2	2	1.000	1	2	.500	0	0		0	0	0	1	0	0	0	5	7	
2017-02-04	UC-Riverside	Hank Hollingsworth	Reserve	7	1	1	1.000	1	1	1.000	0	0		0	0		0	1	1	0	0	2	0	3	2	
2017-02-04	UC-Riverside	Trevor John	Reserve	1	0	0		0	0		0	0		0	0		0	0	0	0	0	0	0	1	0	
2017-02-04	Cal State Northridge	Noah Allen	Starter	38	11	17	.647	7	10	.700	4	7	.571	8	10	.800	2	6	8	1	2	0	3	1	34	
2017-02-04	Cal State Northridge	Jack Purchase	Starter	37	3	8	.375	0	0		3	8	.375	0	0		2	5	7	5	0	0	1	1	9	
2017-02-04	Cal State Northridge	Brocke Stepteau	Starter	35	2	7	.286	2	6	.333	0	1	.000	5	6	.833	1	4	5	4	0	0	0	1	9	
2017-02-04	Cal State Northridge	Sheriff Drammeh	Starter	20	0	6	.000	0	2	.000	0	4	.000	2	2	1.000	1	2	3	2	0	0	1	4	2	
2017-02-04	Cal State Northridge	Gibson Johnson	Starter	18	3	6	.500	3	6	.500	0	0		0	0		1	2	3	0	0	1	4	3	6	
2017-02-04	Cal State Northridge	Matthew Owies	Reserve	26	3	6	.500	2	3	.667	1	3	.333	0	0		0	0	0	1	0	0	1	2	7	
2017-02-04	Cal State Northridge	Zigmars Raimo	Reserve	13	2	4	.500	2	4	.500	0	0		2	2	1.000	3	1	4	0	1	0	2	1	6	
2017-02-04	Cal State Northridge	Ido Flaisher	Reserve	8	1	2	.500	1	2	.500	0	0		0	0		0	2	2	0	0	0	1	2	2	
2017-02-04	Cal State Northridge	Larry Lewis Jr.	Reserve	5	0	0		0	0		0	0		1	2	.500	0	0	0	0	1	0	0	2	1	
2017-02-04	Hawaii	Kendall Smith	Starter	35	6	12	.500	4	6	.667	2	6	.333	1	2	.500	1	3	4	6	4	1	1	2	15	
2017-02-04	Hawaii	Darin Johnson	Starter	32	9	16	.563	9	15	.600	0	1	.000	9	11	.818	1	3	4	1	0	0	0	2	27	
2017-02-04	Hawaii	Tavrion Dawson	Starter	32	6	15	.400	6	12	.500	0	3	.000	2	4	.500	5	4	9	2	0	0	3	3	14	
2017-02-04	Hawaii	Aaron Parks	Starter	20	2	6	.333	2	6	.333	0	0		1	2	.500	3	1	4	1	1	0	5	5	5	
2017-02-04	Hawaii	Rakim Lubin	Starter	2	0	1	.000	0	1	.000	0	0		0	0		1	1	2	0	0	0	0	3	0	
2017-02-04	Hawaii	Micheal Warren	Reserve	35	2	4	.500	1	2	.500	1	2	.500	0	0		1	4	5	2	1	0	0	3	5	
2017-02-04	Hawaii	Mahamadou Kaba-Camara	Reserve	14	0	0		0	0		0	0		0	0		1	4	5	0	0	1	1	2	0	
2017-02-04	Hawaii	Dylan Johns	Reserve	12	0	1	.000	0	1	.000	0	0		0	0		0	2	2	0	0	0	1	0	0	
2017-02-04	Hawaii	Reggie Theus Jr.	Reserve	11	1	2	.500	1	2	.500	0	0		2	2	1.000	0	0	0	0	1	0	0	1	4	
2017-02-04	Hawaii	Jerron Wilbut	Reserve	7	1	4	.250	1	1	1.000	0	3	.000	0	0		0	1	1	0	0	0	2	2	2	
2017-02-04	UC-Santa Barbara	Brynton Lemar	Starter	32	5	12	.417	2	5	.400	3	7	.429	4	6	.667	2	3	5	2	1	0	1	3	17	
2017-02-04	UC-Santa Barbara	Darius Graham	Starter	30	1	8	.125	1	6	.167	0	2	.000	6	6	1.000	0	0	0	5	0	0	1	2	8	
2017-02-04	UC-Santa Barbara	J.T. Adenrele	Starter	26	3	7	.429	3	7	.429	0	0		3	4	.750	5	4	9	0	0	0	1	2	9	
2017-02-04	UC-Santa Barbara	Lawrence White	Starter	26	2	4	.500	2	4	.500	0	0		4	7	.571	0	2	2	0	2	0	2	1	8	
2017-02-04	UC-Santa Barbara	Chima Moneke	Starter	24	3	7	.429	3	7	.429	0	0		3	6	.500	5	5	10	1	0	1	2	2	9	
2017-02-04	UC-Santa Barbara	Siler Schneider	Reserve	30	6	13	.462	4	7	.571	2	6	.333	0	0		0	6	6	1	0	0	2	2	14	
2017-02-04	UC-Santa Barbara	Garrison Goode	Reserve	19	1	1	1.000	1	1	1.000	0	0		0	3	.000	2	3	5	0	0	0	2	2	2	
2017-02-04	UC-Santa Barbara	Arell Hennings	Reserve	10	0	1	.000	0	1	.000	0	0		0	0		0	0	0	1	0	0	1	0	0	
2017-02-04	UC-Santa Barbara	Mikey Henn	Reserve	3	0	1	.000	0	1	.000	0	0		0	0		0	0	0	1	0	0	0	1	0	
2017-02-04	UC-Davis	Eric Childress	Starter	35	4	7	.571	1	3	.333	3	4	.750	0	0		0	4	4	5	2	0	4	5	11	
2017-02-04	UC-Davis	Alex Hart	Starter	32	6	8	.750	6	8	.750	0	0		2	4	.500	1	10	11	1	0	2	3	3	14	
2017-02-04	UC-Davis	Maxwell Kupchak	Starter	31	3	7	.429	3	7	.429	0	0		2	2	1.000	1	7	8	1	0	0	0	1	8	
2017-02-04	UC-Davis	Christian Terrell	Starter	18	1	3	.333	1	2	.500	0	1	.000	0	0		0	1	1	0	0	0	0	2	2	
2017-02-04	UC-Davis	Clifton Powell	Starter	15	2	6	.333	1	2	.500	1	4	.250	0	0		0	0	0	1	1	0	2	0	5	
2017-02-04	UC-Davis	Max Heidegger	Reserve	28	2	7	.286	1	3	.333	1	4	.250	5	7	.714	0	0	0	4	0	0	1	2	10	
2017-02-04	UC-Davis	J.D. Slajchert	Reserve	13	4	7	.571	4	7	.571	0	0		0	0		4	0	4	0	0	0	0	3	8	
2017-02-04	UC-Davis	Sam Walters	Reserve	13	1	3	.333	0	0		1	3	.333	0	0		0	0	0	2	0	0	1	0	3	
2017-02-04	UC-Davis	Tide Osifeso	Reserve	11	1	5	.200	0	1	.000	1	4	.250	0	0		0	1	1	2	0	0	1	2	3	
2017-02-04	UC-Davis	Tyler Jackson	Reserve	2	0	0		0	0		0	0		0	0		0	0	0	0	0	0	1	1	0	
2017-02-04	UC-Davis	Jarriesse Blackmon	Reserve	2	0	2	.000	0	2	.000	0	0		0	0		1	0	1	0	0	0	0	2	0	
2017-02-04	Central Arkansas	Marlain Veal	Starter	34	9	16	.563	4	8	.500	5	8	.625	1	2	.500	0	7	7	5	2	0	3	1	24	
2017-02-04	Central Arkansas	Eddy Polanco	Starter	30	6	14	.429	3	4	.750	3	10	.300	3	3	1.000	1	5	6	2	1	0	1	0	18	
2017-02-04	Central Arkansas	Davon Hayes	Starter	25	1	14	.071	0	8	.000	1	6	.167	2	2	1.000	1	1	2	1	0	0	0	0	5	
2017-02-04	Central Arkansas	Jabbar Singleton	Starter	24	1	5	.200	1	1	1.000	0	4	.000	0	0		0	3	3	0	0	0	1	3	2	
2017-02-04	Central Arkansas	Moses Greenwood	Starter	23	1	5	.200	1	5	.200	0	0		0	0		2	2	4	0	0	1	0	3	2	
2017-02-04	Central Arkansas	James Currington	Reserve	25	4	6	.667	4	6	.667	0	0		1	2	.500	3	1	4	1	0	1	2	4	9	
2017-02-04	Central Arkansas	Dimi Cook	Reserve	21	2	4	.500	2	4	.500	0	0		0	1	.000	1	1	2	4	1	0	3	1	4	
2017-02-04	Central Arkansas	Dominic Nelson	Reserve	12	1	5	.200	1	5	.200	0	0		0	0		5	2	7	0	0	0	0	1	2	
2017-02-04	Central Arkansas	Michael Corchiani	Reserve	5	0	1	.000	0	0		0	1	.000	0	0		0	0	0	0	0	0	0	1	0	
2017-02-04	Central Arkansas	Chris Mejia	Reserve	1	0	0		0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	
2017-02-04	Southeastern Louisiana	Derreck Brooks	Starter	36	3	8	.375	1	4	.250	2	4	.500	2	2	1.000	1	10	11	4	1	1	1	2	10	
2017-02-04	Southeastern Louisiana	Mathieu Kamba	Starter	33	5	10	.500	4	7	.571	1	3	.333	2	4	.500	0	4	4	2	1	0	2	2	13	
2017-02-04	Southeastern Louisiana	Jordan Howard	Starter	32	5	11	.455	3	6	.500	2	5	.400	2	2	1.000	0	4	4	2	1	0	4	3	14	
2017-02-04	Southeastern Louisiana	Ethan Lee	Starter	26	4	7	.571	4	7	.571	0	0		2	4	.500	1	6	7	0	1	0	1	0	10	
2017-02-04	Southeastern Louisiana	Tanner Schmit	Starter	24	2	5	.400	2	5	.400	0	0		0	0		0	2	2	0	0	1	2	0	4	
2017-02-04	Southeastern Louisiana	Jeff Lowery	Reserve	20	2	3	.667	2	2	1.000	0	1	.000	2	2	1.000	0	1	1	7	1	0	2	3	6	
2017-02-04	Southeastern Louisiana	Thatch Unruh	Reserve	17	2	4	.500	0	1	.000	2	3	.667	0	0		0	2	2	0	0	0	1	1	6	
2017-02-04	Southeastern Louisiana	Darraja Parnell	Reserve	7	2	2	1.000	2	2	1.000	0	0		1	1	1.000	0	1	1	0	0	0	2	0	5	
2017-02-04	Southeastern Louisiana	Albert Christensson	Reserve	5	0	1	.000	0	1	.000	0	0		0	0		0	0	0	0	0	1	0	1	0	
2017-02-04	Central Florida	Dedric Lawson	Starter	40	6	20	.300	4	14	.286	2	6	.333	14	14	1.000	2	8	10	3	3	1	0	4	28	
2017-02-04	Central Florida	K.J. Lawson	Starter	38	4	13	.308	4	10	.400	0	3	.000	0	0		4	7	11	2	0	0	1	3	8	
2017-02-04	Central Florida	Jeremiah Martin	Starter	28	2	7	.286	0	3	.000	2	4	.500	0	0		0	2	2	5	1	0	2	5	6	
2017-02-04	Central Florida	Markel Crawford	Starter	26	0	4	.000	0	2	.000	0	2	.000	0	2	.000	0	2	2	2	0	0	3	4	0	
2017-02-04	Central Florida	Jimario Rivers	Starter	17	4	7	.571	4	7	.571	0	0		0	0		1	0	1	0	1	0	0	4	8	
