Date,GameID,TeamID
2017-01-28,10957,1179
2017-03-11,12675,1179
2017-03-05,12917,1179
2017-01-01,10012,1239
2017-01-14,10272,1239
2017-01-28,10982,1239
2017-01-07,11352,1239
2017-02-11,11552,1239
2017-02-07,12508,1239
2017-03-08,12965,1239
2017-01-18,10425,1239
2017-01-21,10652,1239
2017-01-24,10767,1239
2017-01-04,11162,1239
2017-02-01,11459,1239
2017-02-14,11708,1239
2017-02-21,12094,1239
2017-02-28,12293,1239
2017-02-04,12415,1239
2017-03-05,12904,1239
2017-03-09,13016,1239
2017-01-01,10013,1198
2017-01-14,10203,1198
2017-01-17,10375,1198
2017-01-21,10632,1198
2017-01-24,10754,1198
2017-02-01,11471,1198
2017-02-14,11709,1198
2017-02-08,12516,1198
2017-03-04,12836,1198
2017-01-10,10039,1198
2017-01-28,10967,1198
2017-01-04,11185,1198
2017-01-07,11341,1198
2017-02-18,11872,1198
2017-02-21,12091,1198
2017-02-04,12399,1198
2017-03-09,13000,1198
2017-01-01,10014,1274
2017-01-22,10713,1274
2017-01-07,11366,1274
2017-02-15,11756,1274
2017-02-22,12139,1274
2017-02-28,12297,1274
2017-02-04,12357,1274
2017-02-08,12547,1274
2017-03-04,12793,1274
2017-03-09,13014,1274
2017-01-11,10080,1274
2017-01-14,10279,1274
2017-01-16,10370,1274
2017-01-25,10816,1274
2017-02-01,11494,1274
2017-02-11,11624,1274
2017-02-18,11941,1274
2017-01-01,10015,1286
2017-01-14,10215,1286
2017-01-28,11003,1286
2017-01-04,11180,1286
2017-01-07,11339,1286
2017-02-01,11480,1286
2017-02-19,11985,1286
2017-02-04,12382,1286
2017-03-03,12777,1286
2017-01-11,10093,1286
2017-01-18,10408,1286
2017-01-21,10673,1286
2017-01-24,10766,1286
2017-02-11,11621,1286
2017-02-15,11760,1286
2017-02-22,12118,1286
2017-02-08,12542,1286
2017-03-04,12816,1286
2017-01-01,10016,1154
2017-01-12,10113,1154
2017-01-14,10269,1154
2017-01-19,10460,1154
2017-01-21,10619,1154
2017-01-05,11217,1154
2017-02-11,11630,1154
2017-02-16,11787,1154
2017-02-18,11896,1154
2017-02-02,12024,1154
2017-02-23,12189,1154
2017-02-04,12381,1154
2017-02-09,12618,1154
2017-03-04,12824,1154
2017-03-09,13012,1154
2017-01-26,10827,1154
2017-01-28,10956,1154
2017-01-07,11332,1154
2017-01-01,10017,1013
2017-01-12,10106,1013
2017-01-19,10486,1013
