Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-11	South Alabama	66	Louisiana-Monroe	63	
2017-2-11	Arkansas	78	LSU	70	
2017-2-11	Louisville	71	Miami (FL)	66	
2017-2-11	Loyola Marymount	66	Portland	60	
2017-2-11	Siena	84	Marist	77	
2017-2-11	Maryland	86	Ohio State	77	
2017-2-11	Texas A&M-Corpus; Christi	73	McNeese State	66	
2017-2-11	Miami (OH)	81	Central Michigan	76	
2017-2-11	Michigan State	77	Iowa	66	
2017-2-11	Middle Tennessee	70	Charlotte	55	
2017-2-11	Ole Miss	90	Auburn	84	
2017-2-11	South Carolina	77	Mississippi State	73	
2017-2-11	Alcorn State	88	Mississippi Valley State	77	
2017-2-11	Missouri	72	Vanderbilt	52	
2017-2-11	UMKC	102	Seattle	72	
2017-2-11	Delaware State	56	Morgan State	45	
2017-2-11	Murray State	102	Austin Peay	58	
2017-2-11	Navy	68	Lafayette	60	
2017-2-11	San Jose State	76	UNLV	74	
2017-2-11	Norfolk State	75	Maryland-Eastern Shore	69	
2017-2-11	Florida A&M;	83	North Carolina A&T;	77	
2017-2-11	North Carolina Central	85	South Carolina State	62	
2017-2-11	North Dakota	88	Idaho	65	
2017-2-11	North Dakota State	81	Denver	63	
2017-2-11	South Carolina Upstate	84	North Florida	71	
2017-2-11	Hofstra	74	Northeastern	64	
2017-2-11	Montana	76	Northern Arizona	59	
2017-2-11	Eastern Washington	70	Northern Colorado	44	
2017-2-11	Northern Kentucky	69	Milwaukee	63	
2017-2-11	Notre Dame	84	Florida State	72	
2017-2-11	Oklahoma State	84	Texas	71	
2017-2-11	Santa Clara	64	Pacific	47	
2017-2-11	Pitt	80	Syracuse	75	
2017-2-11	Weber State	96	Portland State	93	
2017-2-11	Campbell	70	Presbyterian	57	
2017-2-11	Princeton	61	Columbia	59	
2017-2-11	Providence	71	Butler	65	
2017-2-11	Rider	112	Quinnipiac	107	
2017-2-11	Robert Morris	50	Wagner	48	
2017-2-11	Minnesota	72	Rutgers	63	
2017-2-11	Sacramento State	75	Idaho State	63	
2017-2-11	Sacred Heart	77	Central Connecticut	62	
2017-2-11	Mount St. Mary's	81	Saint Francis (PA)	62	
2017-2-11	UMass	87	St. Joseph's	76	
2017-2-11	Saint Louis	87	Duquesne	81	
