Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-4	Delaware State	88	Bethune-Cookman	82	
2017-2-4	Boise State	72	Utah State	70	
2017-2-4	Louisville	90	Boston College	67	
2017-2-4	Bowling Green State	104	Toledo	100	
2017-2-4	Bradley	79	Drake	72	
2017-2-4	BYU	73	Portland	62	
2017-2-4	UC-Riverside	67	Cal Poly	56	
2017-2-4	Hawaii	76	Cal State Northridge	72	
2017-2-4	UC-Davis	67	UCSB	64	
2017-2-4	Central Arkansas	68	Southeastern Louisiana	66	
2017-2-4	UCF	72	Memphis	57	
2017-2-4	Charleston Southern	71	Presbyterian	65	
2017-2-4	Charlotte	95	Florida International	80	
2017-2-4	Chattanooga	77	Western Carolina	65	
2017-2-4	Cincinnati	82	UConn	68	
2017-2-4	Furman	99	Citadel	91	
2017-2-4	Oakland	53	Cleveland State	51	
2017-2-4	Colgate	55	Navy	52	
2017-2-4	College of Charleston	71	Elon	58	
2017-2-4	Columbia	83	Brown	78	
2017-2-4	Xavier	82	Creighton	80	
2017-2-4	Dartmouth	74	Penn	71	
2017-2-4	Dayton	90	Duquesne	53	
2017-2-4	Denver	76	IPFW	73	
2017-2-4	Marquette	92	DePaul	79	
2017-2-4	Duke	72	Pitt	64	
2017-2-4	East Carolina	74	Tulane	65	
2017-2-4	Tennessee Tech	87	Eastern Illinois	68	
2017-2-4	Eastern Washington	130	Portland State	124	
2017-2-4	Evansville	74	Missouri State	66	
2017-2-4	Wagner	68	Fairleigh Dickinson	59	
2017-2-4	Florida	88	Kentucky	66	
2017-2-4	Florida A&M;	71	Howard	62	
2017-2-4	San Diego State	70	Fresno State	67	
2017-2-4	Gardner-Webb	90	Longwood	64	
2017-2-4	George Mason	95	La Salle	75	
2017-2-4	Seton Hall	68	Georgetown	66	
2017-2-4	Georgia Southern	76	Louisiana-Monroe	62	
2017-2-4	Georgia State	85	Louisiana-Lafayette	82	
2017-2-4	Gonzaga	90	Santa Clara	55	
2017-2-4	Cal State Bakersfield	65	Grand Canyon	62	
2017-2-4	Green Bay	86	Valparaiso	69	
2017-2-4	Vermont	79	Hartford	66	
2017-2-4	Princeton	57	Harvard	56	
2017-2-4	North Carolina-Asheville	74	High Point	71	
2017-2-4	Hofstra	79	Drexel	77	
2017-2-4	Houston Baptist	84	Incarnate Word	70	
2017-2-4	Idaho	81	Sacramento State	67	
2017-2-4	Idaho State	94	Southern Utah	68	
2017-2-4	Minnesota	68	Illinois	59	
2017-2-4	Florida Gulf Coast	67	Jacksonville	57	
2017-2-4	James Madison	73	Northeastern	69	
2017-2-4	Iowa State	92	Kansas	89	
2017-2-4	Kennesaw State	84	South Carolina Upstate	79	
2017-2-4	Lamar	77	McNeese State	57	
2017-2-4	Liberty	57	Radford	54	
2017-2-4	Lipscomb	87	NJIT	63	
2017-2-4	Long Beach State	72	UC-Irvine	63	
2017-2-4	Saint Francis (PA)	80	LIU-Brooklyn	78	
2017-2-4	Texas A&M;	85	LSU	73	
2017-2-4	Louisiana Tech	94	Marshall	90	
2017-2-4	Southern Illinois	67	Loyola (IL)	61	
2017-2-4	Loyola (MD)	78	Army	63	
2017-2-4	UMBC	83	Maine	71	
