Date	Team	Player	IsStarter	MP	FG	FGA	FGpct	2P	2PA	2Ppct	3P	3PA	3Ppct	FT	FTA	FTpct	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
2017-02-04	Wyoming	Pervis Louder	Reserve	14	3	10	.300	1	6	.167	2	4	.500	5	7	.714	3	3	6	1	0	0	1	3	13	
2017-02-04	Wyoming	Lavelle Scottie	Reserve	10	1	4	.250	1	3	.333	0	1	.000	1	1	1.000	0	0	0	0	0	0	0	1	3	
2017-02-04	Wyoming	LeSean Brown	Reserve	1	0	0		0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	
2017-02-04	Alabama A&M	Marcus Romain	Starter	39	9	20	.450	8	15	.533	1	5	.200	2	2	1.000	5	5	10	2	1	0	1	2	21	
2017-02-04	Alabama A&M	Ta'Jay Henry	Starter	34	7	11	.636	7	11	.636	0	0		2	3	.667	5	6	11	1	0	0	2	4	16	
2017-02-04	Alabama A&M	Kylan Phillips	Starter	34	2	3	.667	0	0		2	3	.667	0	0		0	1	1	2	2	0	4	2	6	
2017-02-04	Alabama A&M	Isaac Williams	Starter	33	4	12	.333	3	6	.500	1	6	.167	4	4	1.000	0	1	1	2	1	0	1	3	13	
2017-02-04	Alabama A&M	Jamal Watson	Starter	15	1	3	.333	1	3	.333	0	0		0	2	.000	1	1	2	1	0	0	0	1	2	
2017-02-04	Alabama A&M	Rashaan Surles	Reserve	20	3	6	.500	3	6	.500	0	0		0	2	.000	0	2	2	2	2	0	1	1	6	
2017-02-04	Alabama A&M	Michael Matlock	Reserve	9	0	0		0	0		0	0		2	2	1.000	0	2	2	0	1	0	0	4	2	
2017-02-04	Alabama A&M	Jabari Alex	Reserve	6	1	1	1.000	1	1	1.000	0	0		0	0		0	1	1	0	0	0	2	0	2	
2017-02-04	Alabama A&M	Ronald Strother Jr.	Reserve	4	0	1	.000	0	0		0	1	.000	0	0		0	0	0	0	0	1	1	0	0	
2017-02-04	Alabama A&M	Lorenzo Hunt	Reserve	2	0	0		0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	
2017-02-04	Alabama A&M	Amos Given	Reserve	2	0	1	.000	0	1	.000	0	0		0	0		0	0	0	0	0	0	0	0	0	
2017-02-04	Alabama A&M	Vacha Vaughn	Reserve	2	0	1	.000	0	1	.000	0	0		0	0		0	0	0	0	0	0	0	2	0	
2017-02-04	Mississippi Valley State	Rakiya Battle	Starter	31	3	7	.429	2	5	.400	1	2	.500	0	0		0	4	4	4	1	0	4	1	7	
2017-02-04	Mississippi Valley State	Ariston Johnson	Starter	26	1	2	.500	1	1	1.000	0	1	.000	0	0		0	1	1	1	0	0	3	3	2	
2017-02-04	Mississippi Valley State	De'Ederick Petty	Starter	23	4	13	.308	3	5	.600	1	8	.125	4	7	.571	2	2	4	1	0	0	1	2	13	
2017-02-04	Mississippi Valley State	Quinterian McConico	Starter	18	4	9	.444	4	9	.444	0	0		0	0		1	2	3	1	0	0	0	1	8	
2017-02-04	Mississippi Valley State	Evan Wiley	Starter	4	0	1	.000	0	1	.000	0	0		0	0		1	1	2	1	0	0	0	0	0	
2017-02-04	Mississippi Valley State	Mohamed Sherif	Reserve	24	6	7	.857	6	7	.857	0	0		2	5	.400	6	5	11	1	0	0	0	3	14	
2017-02-04	Mississippi Valley State	Adrian Edwards	Reserve	24	2	4	.500	2	4	.500	0	0		1	2	.500	1	4	5	1	1	1	1	1	5	
2017-02-04	Mississippi Valley State	Marcus Merriweather	Reserve	23	3	10	.300	2	7	.286	1	3	.333	5	6	.833	0	2	2	2	2	0	2	2	12	
2017-02-04	Mississippi Valley State	Matthew Cotton	Reserve	17	0	2	.000	0	0		0	2	.000	1	2	.500	1	0	1	1	0	0	1	2	1	
2017-02-04	Mississippi Valley State	Eugene Jones Jr.	Reserve	10	2	4	.500	2	4	.500	0	0		0	0		0	1	1	1	0	0	0	1	4	
2017-02-04	Mississippi Valley State	Kimium Woods	Reserve	0	0	0		0	0		0	0		0	0		0	1	1	0	0	0	0	0	0	
2017-02-04	Alabama State	Charles Jackson	Starter	33	3	9	.333	2	5	.400	1	4	.250	2	3	.667	0	4	4	3	1	0	1	4	9	
2017-02-04	Alabama State	Travon Harper	Starter	22	5	6	.833	5	6	.833	0	0		0	0		4	2	6	1	0	0	2	4	10	
2017-02-04	Alabama State	Kennedy McKinney	Starter	17	2	4	.500	1	2	.500	1	2	.500	0	0		0	1	1	0	1	0	1	0	5	
2017-02-04	Alabama State	Deshon Bayless	Starter	15	3	7	.429	3	5	.600	0	2	.000	0	1	.000	1	3	4	0	0	0	0	0	6	
2017-02-04	Alabama State	Trent Steen	Starter	14	4	9	.444	4	9	.444	0	0		2	4	.500	1	2	3	0	0	0	2	4	10	
2017-02-04	Alabama State	Joe'Randle Toliver	Reserve	30	6	14	.429	0	0		6	14	.429	0	0		0	1	1	0	0	0	1	1	18	
2017-02-04	Alabama State	Jaquan Lynch	Reserve	29	1	8	.125	1	5	.200	0	3	.000	3	4	.750	2	1	3	8	0	2	1	5	5	
2017-02-04	Alabama State	Devin Berry	Reserve	15	0	1	.000	0	1	.000	0	0		2	2	1.000	2	6	8	0	1	0	1	2	2	
2017-02-04	Alabama State	Marcus Wallace	Reserve	11	0	0		0	0		0	0		0	0		0	1	1	0	0	0	1	2	0	
2017-02-04	Alabama State	Artavious McDyess	Reserve	6	0	1	.000	0	1	.000	0	0		0	0		0	0	0	0	0	0	1	1	0	
