Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-1-12	LIU-Brooklyn	60	Central Connecticut	49	
2017-1-12	Notre Dame	67	Miami (FL)	62	
2017-1-12	Middle Tennessee	69	Marshall	57	
2017-1-12	Milwaukee	68	Northern Kentucky	58	
2017-1-12	Montana	89	Northern Colorado	68	
2017-1-12	North Dakota	90	Montana State	85	
2017-1-12	Belmont	84	Morehead State	78	
2017-1-12	Mount St. Mary's	77	Fairleigh Dickinson	70	
2017-1-12	New Mexico State	81	Grand Canyon	69	
2017-1-12	Sam Houston State	70	New Orleans	68	
2017-1-12	Jacksonville	82	NJIT	81	
2017-1-12	North Carolina-Wilmington	101	William & Mary	77	
2017-1-12	Northeastern	92	Drexel	75	
2017-1-12	Northwestern State	86	Nicholls State	81	
2017-1-12	Old Dominion	54	Southern Miss	50	
2017-1-12	Oral Roberts	94	South Dakota State	88	
2017-1-12	Pacific	79	Pepperdine	74	
2017-1-12	Saint Mary's (CA)	74	Portland	33	
2017-1-12	La Salle	87	Rhode Island	75	
2017-1-12	Saint Francis (PA)	77	Robert Morris	57	
2017-1-12	Northwestern	69	Rutgers	60	
2017-1-12	Santa Clara	59	San Diego	57	
2017-1-12	UMKC	84	Seattle	68	
2017-1-12	Siena	81	Quinnipiac	74	
2017-1-12	North Florida	73	South Carolina Upstate	65	
2017-1-12	Austin Peay	83	Southern Illinois-Edwardsville	81	
2017-1-12	Sacramento State	88	Southern Utah	83	
2017-1-12	Sacred Heart	87	St. Francis (NY)	75	
2017-1-12	Stanford	84	Washington State	54	
2017-1-12	UTEP	88	Florida International	87	
2017-1-12	Cal State Bakersfield	88	Texas-Rio Grande Valley	81	
2017-1-12	UTSA	68	Florida Atlantic	63	
2017-1-12	Towson	83	Delaware	56	
2017-1-12	Utah	86	USC	64	
2017-1-12	Chicago State	70	Utah Valley	61	
2017-1-12	Virginia Military Institute	79	Western Carolina	78	
2017-1-12	Weber State	91	Idaho	66	
2017-1-12	Wisconsin	89	Ohio State	66	
2017-1-12	Valparaiso	78	Youngstown State	62	
2017-1-13	Central Michigan	96	Toledo	88	
2017-1-13	Manhattan	76	Rider	73	
2017-1-13	Detroit	93	Oakland	88	
2017-1-13	Yale	68	Penn	60	
2017-1-13	Princeton	97	Brown	66	
2017-1-13	Vermont	81	UMBC	72	
2017-1-14	Abilene Christian	67	Lamar	64	
2017-1-14	San Jose State	89	Air Force	85	
2017-1-14	Alabama State	57	Alabama A&M;	55	
2017-1-14	Alabama-Birmingham	94	Marshall	78	
2017-1-14	Mississippi Valley State	84	Alcorn State	77	
2017-1-14	Army	53	American	49	
2017-1-14	Arkansas	92	Missouri	73	
2017-1-14	Arkansas State	77	Arkansas-Little Rock	72	
2017-1-14	Northern Illinois	69	Bowling Green State	52	
2017-1-14	Sacred Heart	112	Bryant	110	
2017-1-14	Ball State	92	Buffalo	77	
2017-1-14	Butler	83	Xavier	78	
2017-1-14	UC-Davis	71	Cal State Northridge	68	
2017-1-14	University of California	58	Washington State	54	
2017-1-14	UC-Irvine	87	Cal State Fullerton	67	
2017-1-14	UCSB	58	Cal Poly	53	
2017-1-14	Winthrop	72	Campbell	63	
2017-1-14	Canisius	91	Marist	58	
2017-1-14	Fairleigh Dickinson	59	Central Connecticut	47	
2017-1-14	UCF	77	Houston	70	
2017-1-14	North Carolina-Asheville	76	Charleston Southern	67	
2017-1-14	Charlotte	82	Southern Miss	66	
2017-1-14	Samford	98	Citadel	90	
2017-1-14	Virginia	77	Clemson	73	
2017-1-14	Valparaiso	78	Cleveland State	67	
2017-1-14	Coastal Carolina	85	Appalachian State	73	
2017-1-14	Bucknell	83	Colgate	69	
2017-1-14	College of Charleston	77	William & Mary	67	
2017-1-14	New Mexico	84	Colorado State	71	
2017-1-14	Coppin State	75	North Carolina A&T;	73	
2017-1-14	Columbia	79	Cornell	75	
2017-1-14	Creighton	101	Truman State	69	
2017-1-14	Davidson	69	VCU	63	
2017-1-14	Hampton	85	Delaware State	77	
2017-1-14	Denver	79	North Dakota State	55	
2017-1-14	Drexel	76	Delaware	60	
2017-1-14	Dayton	76	Duquesne	57	
2017-1-14	ETSU	75	Western Carolina	52	
2017-1-14	Austin Peay	92	Eastern Illinois	84	
2017-1-14	Belmont	72	Eastern Kentucky	59	
2017-1-14	Southern Illinois	73	Evansville	61	
2017-1-14	Florida	80	Georgia	76	
2017-1-14	Fresno State	89	Boise State	80	
2017-1-14	Saint Louis	63	George Mason	56	
2017-1-14	Georgetown	72	UConn	69	
2017-1-14	Gonzaga	79	Saint Mary's (CA)	56	
2017-1-14	Hawaii	114	Long Beach State	107	
2017-1-14	High Point	77	Presbyterian	44	
2017-1-14	Idaho	77	Idaho State	62	
2017-1-14	Maryland	62	Illinois	56	
2017-1-14	Illinois State	76	Wichita State	62	
2017-1-14	Incarnate Word	82	Houston Baptist	77	
