Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-1-21	Alcorn State	78	Alabama State	71	
2017-1-21	Arkansas	99	LSU	86	
2017-1-21	Arkansas-Little Rock	73	South Alabama	56	
2017-1-21	Texas Southern	70	Arkansas-Pine Bluff	63	
2017-1-21	Arkansas State	82	Troy	80	
2017-1-21	Navy	96	Army	80	
2017-1-21	Auburn	84	Alabama	64	
2017-1-21	Austin Peay	84	Murray State	81	
2017-1-21	Belmont	82	Tennessee Tech	70	
2017-1-21	Maryland-Eastern Shore	82	Bethune-Cookman	79	
2017-1-21	UNC	90	Boston College	82	
2017-1-21	Bowling Green State	79	Ball State	74	
2017-1-21	Bucknell	70	Boston University	59	
2017-1-21	Buffalo	66	Western Michigan	54	
2017-1-21	Long Beach State	98	Cal Poly	92	
2017-1-21	Cal State Bakersfield	68	Utah Valley	65	
2017-1-21	UC-Irvine	105	Cal State Northridge	73	
2017-1-21	UC-Riverside	65	UCSB	55	
2017-1-21	New Orleans	81	Central Arkansas	63	
2017-1-21	Central Michigan	101	Miami (OH)	92	
2017-1-21	Charleston Southern	76	Longwood	61	
2017-1-21	Charlotte	74	Old Dominion	72	
2017-1-21	Chattanooga	82	Samford	78	
2017-1-21	Colgate	52	Loyola (MD)	49	
2017-1-21	College of Charleston	73	James Madison	60	
2017-1-21	Cornell	67	Columbia	62	
2017-1-21	Marquette	102	Creighton	94	
2017-1-21	Towson	75	Delaware	58	
2017-1-21	Butler	70	DePaul	69	
2017-1-21	Duke	70	Miami (FL)	58	
2017-1-21	Rhode Island	90	Duquesne	69	
2017-1-21	Eastern Washington	83	Southern Utah	68	
2017-1-21	Elon	71	William & Mary	62	
2017-1-21	Fairleigh Dickinson	83	LIU-Brooklyn	66	
2017-1-21	Vanderbilt	68	Florida	66	
2017-1-21	Middle Tennessee	86	Florida Atlantic	57	
2017-1-21	Florida Gulf Coast	84	NJIT	71	
2017-1-21	Florida International	94	Alabama-Birmingham	85	
2017-1-21	Florida State	73	Louisville	68	
2017-1-21	Furman	89	Virginia Military Institute	72	
2017-1-21	Gardner-Webb	78	Presbyterian	61	
2017-1-21	Georgia Southern	92	Appalachian State	88	
2017-1-21	Georgia State	76	Coastal Carolina	56	
2017-1-21	Gonzaga	73	Portland	52	
2017-1-21	Grambling	72	Jackson State	57	
2017-1-21	Grand Canyon	61	Seattle	59	
2017-1-21	Harvard	82	Dartmouth	68	
2017-1-21	UC-Davis	76	Hawaii	70	
2017-1-21	Hofstra	78	Northeastern	73	
2017-1-21	Idaho	65	Northern Arizona	49	
2017-1-21	Illinois State	72	Drake	58	
2017-1-21	Incarnate Word	70	Stephen F. Austin	68	
2017-1-21	Indiana	82	Michigan State	75	
2017-1-21	Denver	78	IUPUI	74	
2017-1-21	Kennesaw State	81	Jacksonville	71	
2017-1-21	Kansas	79	Texas	67	
2017-1-21	Kansas State	79	West Virginia	75	
2017-1-21	Kent State	85	Toledo	61	
2017-1-21	Kentucky	85	South Carolina	69	
2017-1-21	Lehigh	75	Lafayette	68	
2017-1-21	Winthrop	61	Liberty	48	
2017-1-21	Louisiana Tech	81	North Texas	57	
2017-1-21	Loyola (IL)	67	Evansville	61	
2017-1-21	Marshall	94	Western Kentucky	80	
2017-1-21	Fordham	71	UMass	68	
2017-1-21	Northwestern State	78	McNeese State	65	
2017-1-21	Michigan	66	Illinois	57	
2017-1-21	Wisconsin	78	Minnesota	76	
2017-1-21	Prairie View	87	Mississippi Valley State	72	
2017-1-21	Ole Miss	75	Missouri	71	
2017-1-21	Missouri State	76	Bradley	62	
2017-1-21	Morehead State	80	Eastern Kentucky	54	
2017-1-21	Fresno State	81	Nevada	76	
2017-1-21	UNLV	87	Air Force	85	
2017-1-21	New Mexico	78	Wyoming	71	
2017-1-21	New Mexico State	94	UMKC	71	
2017-1-21	Lamar	87	Nicholls State	76	
2017-1-21	Norfolk State	79	Hampton	62	
2017-1-21	North Carolina-Asheville	72	Campbell	56	
2017-1-21	Howard	78	North Carolina A&T;	63	
2017-1-21	North Carolina-Greensboro	81	Citadel	72	
2017-1-21	Wake Forest	93	North Carolina State	88	
2017-1-21	North Carolina-Wilmington	87	Drexel	74	
2017-1-21	North Dakota	89	Idaho State	64	
2017-1-21	North Florida	90	Lipscomb	84	
2017-1-21	Weber State	74	Northern Colorado	69	
2017-1-21	Ohio	78	Northern Illinois	69	
2017-1-21	Notre Dame	84	Syracuse	66	
2017-1-21	Iowa State	92	Oklahoma	87	
2017-1-21	Oral Roberts	103	Nebraska-Omaha	86	
2017-1-21	Oregon	69	Stanford	52	
2017-1-21	University of California	69	Oregon State	58	
2017-1-21	BYU	62	Pacific	47	
2017-1-21	Montana State	71	Portland State	65	
2017-1-21	Purdue	77	Penn State	52	
2017-1-21	High Point	61	Radford	58	
2017-1-21	Rider	84	Marist	66	
2017-1-21	Bryant	59	Robert Morris	56	
2017-1-21	Rutgers	65	Nebraska	64	
2017-1-21	Sacramento State	92	Montana	83	
2017-1-21	Wagner	67	Sacred Heart	62	
2017-1-21	Central Connecticut	84	Saint Francis (PA)	83	
2017-1-21	St. Joseph's	78	Penn	71	
2017-1-21	Saint Mary's (CA)	85	Pepperdine	65	
2017-1-21	Niagara	57	St. Peter's	55	
2017-1-21	Sam Houston State	76	Texas A&M-Corpus; Christi	62	
2017-1-21	San Francisco	60	San Diego	43	
2017-1-21	Boise State	75	San Jose State	65	
2017-1-21	Santa Clara	64	Loyola Marymount	63	
2017-1-21	Savannah State	74	Morgan State	61	
2017-1-21	South Carolina State	74	Delaware State	64	
2017-1-21	South Dakota State	77	IPFW	67	
2017-1-21	Tulsa	79	South Florida	67	
2017-1-21	Southeast Missouri State	83	Eastern Illinois	71	
2017-1-21	Southeastern Louisiana	83	Houston Baptist	71	
2017-1-21	Northern Iowa	58	Southern Illinois	57	
2017-1-21	SMU	85	Houston	64	
2017-1-21	Rice	61	Southern Miss	58	
2017-1-21	Mount St. Mary's	55	St. Francis (NY)	47	
2017-1-21	South Carolina Upstate	97	Stetson	86	
2017-1-21	Tennessee	91	Mississippi State	74	
2017-1-21	UT-Martin	75	Southern Illinois-Edwardsville	67	
2017-1-21	Jacksonville State	86	Tennessee State	79	
2017-1-21	Texas A&M;	63	Georgia	62	
2017-1-21	Texas-Arlington	71	Louisiana-Monroe	55	
2017-1-21	Baylor	62	Texas Christian	53	
2017-1-21	UTEP	59	UTSA	39	
2017-1-21	Texas-Rio Grande Valley	85	Chicago State	77	
2017-1-21	Louisiana-Lafayette	79	Texas State	73	
2017-1-21	Oklahoma State	83	Texas Tech	64	
2017-1-21	Cincinnati	78	Tulane	61	
2017-1-21	Arizona	96	UCLA	85	
2017-1-21	Colorado State	64	Utah State	56	
2017-1-21	Villanova	78	Providence	68	
2017-1-21	Virginia	62	Georgia Tech	49	
2017-1-21	Utah	94	Washington	72	
2017-1-21	Washington State	91	Colorado	89	
2017-1-21	Mercer	70	Western Carolina	50	
2017-1-21	North Dakota State	89	Western Illinois	57	
2017-1-21	Wichita State	84	Indiana State	58	
2017-1-22	Albany (NY)	81	Maine	63	
2017-1-22	Binghamton	71	Stony Brook	67	
2017-1-22	Virginia Tech	82	Clemson	81	
2017-1-22	UConn	72	East Carolina	65	
2017-1-22	Dayton	67	Saint Louis	46	
2017-1-22	ETSU	79	Wofford	72	
2017-1-22	New Hampshire	81	Hartford	56	
2017-1-22	Siena	81	Manhattan	68	
2017-1-22	UMBC	102	UMass-Lowell	86	
2017-1-22	Memphis	70	UCF	65	
2017-1-22	Milwaukee	94	Youngstown State	85	
2017-1-22	Monmouth	91	Fairfield	49	
2017-1-22	Northern Kentucky	101	Detroit	87	
2017-1-22	Northwestern	74	Ohio State	72	
2017-1-22	George Mason	82	Richmond	77	
2017-1-22	Seton Hall	86	St. John's (NY)	73	
2017-1-22	USC	82	Arizona State	79	
2017-1-22	Valparaiso	96	UIC	65	
2017-1-22	VCU	90	La Salle	52	
2017-1-22	Wright State	88	Oakland	67	
2017-1-22	Xavier	86	Georgetown	75	
2017-1-23	Alcorn State	81	Alabama A&M;	70	
2017-1-23	Alabama State	79	Southern	65	
2017-1-23	Troy	78	Arkansas-Little Rock	69	
2017-1-23	Arkansas-Pine Bluff	71	Prairie View	68	
2017-1-23	Arkansas State	74	South Alabama	62	
2017-1-23	Norfolk State	74	Coppin State	64	
2017-1-23	North Carolina State	84	Duke	82	
2017-1-23	Maryland-Eastern Shore	86	Florida A&M;	79	
2017-1-23	Georgia Southern	91	Coastal Carolina	80	
2017-1-23	Georgia State	83	Appalachian State	72	
2017-1-23	Green Bay	83	Cleveland State	73	
2017-1-23	Holy Cross	63	American	55	
2017-1-23	Iona	84	Quinnipiac	74	
2017-1-23	Mississippi Valley State	103	Texas Southern	89	
2017-1-23	Niagara	91	Canisius	84	
2017-1-23	North Carolina Central	74	Howard	39	
2017-1-23	Oklahoma State	89	Texas Christian	76	
2017-1-23	Gonzaga	83	Portland	64	
2017-1-23	St. Peter's	56	Rider	51	
2017-1-23	Savannah State	94	Delaware State	79	
2017-1-23	Morgan State	77	South Carolina State	75	
2017-1-23	Texas	84	Oklahoma	83	
2017-1-23	Texas-Arlington	108	Louisiana-Lafayette	71	
2017-1-23	Texas State	63	Louisiana-Monroe	57	
2017-1-24	Air Force	60	San Diego State	57	
2017-1-24	Central Michigan	82	Bowling Green State	76	
2017-1-24	Davidson	74	Duquesne	60	
2017-1-24	Ball State	88	Eastern Michigan	80	
2017-1-24	Houston	65	Tulane	51	
2017-1-24	Iowa State	70	Kansas State	65	
2017-1-24	Marquette	74	Villanova	72	
2017-1-24	Maryland	67	Rutgers	55	
2017-1-24	Miami (OH)	75	Buffalo	74	
2017-1-24	Purdue	84	Michigan State	73	
2017-1-24	Drake	72	Missouri State	71	
2017-1-24	New Mexico	74	Utah State	61	
2017-1-24	Kent State	73	Northern Illinois	66	
2017-1-24	Virginia	71	Notre Dame	54	
2017-1-24	Toledo	79	Ohio	76	
2017-1-24	Louisville	106	Pitt	51	
2017-1-24	South Carolina	98	Auburn	69	
2017-1-24	St. Bonaventure	67	St. Joseph's	63	
2017-1-24	Syracuse	81	Wake Forest	76	
2017-1-24	Tennessee	82	Kentucky	80	
2017-1-24	Arkansas	71	Vanderbilt	70	
2017-1-24	West Virginia	85	Kansas	69	
2017-1-24	Akron	90	Western Michigan	80	
2017-1-24	Wichita State	87	Southern Illinois	45	
2017-1-24	Wisconsin	82	Penn State	55	
2017-1-25	Vermont	60	Albany (NY)	49	
2017-1-25	Navy	71	American	53	
2017-1-25	Arizona State	86	Washington	75	
2017-1-25	Baylor	65	Texas Tech	61	
2017-1-25	Binghamton	76	Hartford	55	
2017-1-25	Nevada	76	Boise State	57	
2017-1-25	Boston University	90	Army	89	
2017-1-25	Cal State Northridge	78	UCSB	57	
2017-1-25	Bryant	65	Central Connecticut	54	
2017-1-25	SMU	65	UCF	60	
2017-1-25	Virginia Military Institute	80	Chattanooga	64	
2017-1-25	Lehigh	76	Colgate	62	
2017-1-25	Colorado State	81	San Jose State	72	
2017-1-25	Denver	91	South Dakota State	82	
2017-1-25	East Carolina	69	Tulsa	66	
2017-1-25	Belmont	77	Eastern Illinois	64	
2017-1-25	Furman	85	Western Carolina	37	
2017-1-25	George Washington	87	George Mason	68	
2017-1-25	Georgetown	71	Creighton	51	
2017-1-25	Alabama	80	Georgia	60	
2017-1-25	Georgia Tech	78	Florida State	56	
2017-1-25	South Carolina State	68	Hampton	66	
2017-1-25	UC-Riverside	70	Hawaii	64	
2017-1-25	Weber State	85	Idaho State	73	
2017-1-25	Illinois	76	Iowa	64	
2017-1-25	Illinois State	71	Indiana State	66	
2017-1-25	IPFW	103	IUPUI	73	
2017-1-25	Jacksonville	103	Stetson	92	
2017-1-25	Kennesaw State	71	NJIT	65	
2017-1-25	Penn	77	La Salle	74	
2017-1-25	Bucknell	78	Lafayette	55	
2017-1-25	Texas A&M-Corpus; Christi	69	Lamar	66	
2017-1-25	Lipscomb	84	South Carolina Upstate	77	
2017-1-25	Florida	106	LSU	71	
2017-1-25	Loyola (IL)	70	Bradley	50	
2017-1-25	Loyola (MD)	65	Holy Cross	62	
2017-1-25	Miami (FL)	78	Boston College	77	
2017-1-25	Texas A&M;	80	Ole Miss	76	
2017-1-25	Mississippi State	89	Missouri	74	
2017-1-25	New Hampshire	80	UMass-Lowell	71	
2017-1-25	North Dakota State	81	Oral Roberts	71	
2017-1-25	Florida Gulf Coast	86	North Florida	82	
2017-1-25	Northern Iowa	61	Evansville	54	
2017-1-25	Ohio State	78	Minnesota	72	
2017-1-25	St. John's (NY)	91	Providence	86	
2017-1-25	Richmond	73	Rhode Island	62	
2017-1-25	Saint Louis	74	UMass	70	
2017-1-25	ETSU	96	Samford	86	
2017-1-25	Butler	61	Seton Hall	54	
2017-1-25	South Dakota	62	Western Illinois	55	
2017-1-25	UConn	81	South Florida	60	
2017-1-25	Northwestern State	85	Southeastern Louisiana	71	
2017-1-25	USC	84	UCLA	76	
2017-1-25	Tennessee State	76	Southern Illinois-Edwardsville	56	
2017-1-25	Stephen F. Austin	78	Central Arkansas	76	
2017-1-25	Stony Brook	83	UMBC	73	
2017-1-25	Temple	77	Memphis	66	
2017-1-25	Wofford	93	North Carolina-Greensboro	74	
2017-1-25	Wyoming	66	UNLV	65	
2017-1-26	Alabama-Birmingham	79	Louisiana Tech	70	
2017-1-26	Arizona	79	Washington State	62	
2017-1-26	UT-Martin	85	Austin Peay	79	
2017-1-26	Cal Poly	79	UC-Irvine	66	
2017-1-26	Cal State Bakersfield	75	Chicago State	59	
2017-1-26	Cincinnati	86	Xavier	78	
2017-1-26	Colorado	85	Oregon State	78	
2017-1-26	Drexel	81	Hofstra	80	
2017-1-26	Florida Atlantic	83	Florida International	65	
2017-1-26	Winthrop	72	Gardner-Webb	70	
2017-1-26	Gonzaga	79	San Diego	43	
2017-1-26	High Point	72	Charleston Southern	69	
2017-1-26	Houston Baptist	83	Nicholls State	80	
2017-1-26	Incarnate Word	82	Abilene Christian	79	
2017-1-26	Eastern Kentucky	57	Jacksonville State	52	
2017-1-26	North Carolina-Wilmington	87	James Madison	76	
2017-1-26	Long Beach State	76	Cal State Fullerton	65	
2017-1-26	Liberty	93	Longwood	62	
2017-1-26	Loyola Marymount	79	Pacific	73	
2017-1-26	St. Peter's	81	Marist	65	
2017-1-26	Marshall	92	UTSA	71	
2017-1-26	Michigan	90	Indiana	60	
2017-1-26	Middle Tennessee	72	Southern Miss	56	
2017-1-26	UMKC	83	Grand Canyon	77	
2017-1-26	Eastern Washington	72	Montana	60	
2017-1-26	Montana State	94	Idaho	91	
2017-1-26	Mount St. Mary's	48	Robert Morris	47	
2017-1-26	Southeast Missouri State	75	Murray State	74	
2017-1-26	New Orleans	75	McNeese State	56	
2017-1-26	Manhattan	70	Niagara	69	
2017-1-26	UNC	91	Virginia Tech	72	
2017-1-26	Charlotte	82	North Texas	81	
2017-1-26	Elon	51	Northeastern	49	
2017-1-26	Northern Arizona	63	Northern Colorado	50	
2017-1-26	Northwestern	73	Nebraska	61	
2017-1-26	Pepperdine	78	Portland	60	
2017-1-26	North Carolina-Asheville	73	Presbyterian	47	
2017-1-26	Campbell	78	Radford	61	
2017-1-26	Old Dominion	80	Rice	72	
2017-1-26	LIU-Brooklyn	60	Sacred Heart	57	
2017-1-26	Saint Mary's (CA)	66	San Francisco	46	
2017-1-26	Santa Clara	76	BYU	68	
2017-1-26	New Mexico State	71	Seattle	56	
2017-1-26	North Dakota	91	Southern Utah	89	
2017-1-26	Fairleigh Dickinson	79	St. Francis (NY)	73	
2017-1-26	Tennessee Tech	76	Morehead State	73	
2017-1-26	Towson	83	College of Charleston	77	
2017-1-26	Oregon	73	Utah	67	
2017-1-26	Utah Valley	92	Texas-Rio Grande Valley	81	
2017-1-26	Saint Francis (PA)	72	Wagner	67	
2017-1-26	Western Kentucky	65	UTEP	62	
2017-1-26	William & Mary	82	Delaware	58	
2017-1-27	Columbia	66	Dartmouth	54	
2017-1-27	Harvard	77	Cornell	71	
2017-1-27	Milwaukee	73	Detroit	69	
2017-1-27	Northern Kentucky	79	UIC	62	
2017-1-27	Monmouth	95	Quinnipiac	76	
2017-1-27	Green Bay	80	Oakland	72	
2017-1-27	Iona	77	Siena	66	
2017-1-27	Valparaiso	70	Wright State	55	
2017-1-27	VCU	73	Dayton	68	
2017-1-27	Weber State	96	Idaho State	74	
2017-1-27	Yale	85	Brown	75	
2017-1-28	Akron	91	Buffalo	90	
2017-1-28	Alabama	71	Mississippi State	62	
2017-1-28	Alabama-Birmingham	87	Southern Miss	43	
2017-1-28	Alcorn State	74	Southern	64	
2017-1-28	Texas-Arlington	83	Appalachian State	67	
2017-1-28	Bucknell	96	Army	75	
2017-1-28	Southeast Missouri State	82	Austin Peay	71	
2017-1-28	Ball State	84	Western Michigan	78	
2017-1-28	Ohio	96	Bowling Green State	72	
2017-1-28	BYU	85	Loyola Marymount	77	
2017-1-28	Bryant	73	Fairleigh Dickinson	72	
2017-1-28	Georgetown	85	Butler	81	
2017-1-28	Cal State Fullerton	81	Cal Poly	71	
2017-1-28	UC-Davis	74	UC-Irvine	65	
2017-1-28	Cal State Northridge	63	UC-Riverside	59	
2017-1-28	Liberty	72	Campbell	40	
2017-1-28	Canisius	78	Manhattan	64	
2017-1-28	Incarnate Word	81	Central Arkansas	80	
2017-1-28	Central Connecticut	61	LIU-Brooklyn	52	
2017-1-28	Gardner-Webb	85	Charleston Southern	76	
2017-1-28	Grand Canyon	85	Chicago State	77	
2017-1-28	Texas State	52	Coastal Carolina	50	
2017-1-28	Colorado	74	Oregon	65	
2017-1-28	Columbia	65	Harvard	62	
2017-1-28	UConn	78	Tulane	68	
2017-1-28	Morgan State	76	Coppin State	74	
2017-1-28	Cornell	75	Dartmouth	62	
2017-1-28	Creighton	83	DePaul	66	
2017-1-28	Delaware	66	James Madison	61	
2017-1-28	Florida A&M;	81	Delaware State	68	
2017-1-28	Northern Iowa	71	Drake	63	
2017-1-28	College of Charleston	90	Drexel	76	
2017-1-28	ETSU	76	Chattanooga	71	
2017-1-28	Eastern Illinois	75	Southern Illinois-Edwardsville	60	
2017-1-28	Fairfield	72	Marist	62	
2017-1-28	Florida Gulf Coast	78	Jacksonville	56	
2017-1-28	Davidson	84	Fordham	66	
2017-1-28	George Washington	63	Saint Louis	55	
2017-1-28	Georgia	59	Texas	57	
2017-1-28	Georgia Tech	62	Notre Dame	60	
2017-1-28	Grambling	61	Arkansas-Pine Bluff	53	
2017-1-28	Albany (NY)	74	Hartford	61	
2017-1-28	Hawaii	78	UCSB	56	
2017-1-28	Elon	84	Hofstra	70	
2017-1-28	Houston	79	Temple	66	
2017-1-28	Savannah State	73	Howard	70	
2017-1-28	Loyola (IL)	81	Indiana State	66	
2017-1-28	Iowa	85	Ohio State	72	
2017-1-28	Jackson State	83	Mississippi Valley State	68	
2017-1-28	Morehead State	72	Jacksonville State	69	
2017-1-28	Central Michigan	105	Kent State	98	
2017-1-28	Kansas	79	Kentucky	73	
2017-1-28	Loyola (MD)	70	Lafayette	62	
2017-1-28	Lamar	85	Northwestern State	64	
2017-1-28	Louisiana-Lafayette	88	Arkansas-Little Rock	82	
2017-1-28	Arkansas State	73	Louisiana-Monroe	63	
2017-1-28	Providence	79	Marquette	78	
2017-1-28	UTEP	91	Marshall	68	
2017-1-28	UMBC	105	New Hampshire	103	
2017-1-28	Maryland-Eastern Shore	92	South Carolina State	69	
2017-1-28	George Mason	76	UMass	74	
2017-1-28	UMass-Lowell	97	Fisher College	73	
2017-1-28	Memphis	57	East Carolina	50	
2017-1-28	Mercer	82	Citadel	66	
2017-1-28	Miami (FL)	77	UNC	62	
2017-1-28	Eastern Michigan	74	Miami (OH)	57	
2017-1-28	Middle Tennessee	71	Louisiana Tech	61	
2017-1-28	Maryland	85	Minnesota	78	
2017-1-28	Baylor	78	Ole Miss	75	
2017-1-28	South Carolina	63	Missouri	53	
2017-1-28	Cal State Bakersfield	74	UMKC	63	
2017-1-28	Idaho	85	Montana	77	
2017-1-28	Montana State	91	Eastern Washington	90	
2017-1-28	Mount St. Mary's	67	Sacred Heart	53	
2017-1-28	Murray State	94	UT-Martin	86	
2017-1-28	Navy	60	Holy Cross	47	
2017-1-28	South Dakota State	88	Nebraska-Omaha	84	
2017-1-28	Nevada	82	New Mexico	65	
2017-1-28	Niagara	80	Rider	67	
2017-1-28	Nicholls State	78	McNeese State	74	
2017-1-28	Lipscomb	66	NJIT	62	
2017-1-28	Norfolk State	73	Bethune-Cookman	66	
2017-1-28	North Carolina-Asheville	80	Radford	69	
2017-1-28	North Carolina Central	82	North Carolina A&T;	59	
2017-1-28	Furman	73	North Carolina-Greensboro	67	
2017-1-28	Old Dominion	73	North Texas	67	
2017-1-28	Northeastern	69	Towson	62	
2017-1-28	Northern Arizona	68	North Dakota	67	
2017-1-28	Florida	84	Oklahoma	52	
2017-1-28	Oklahoma State	99	Arkansas	71	
2017-1-28	IPFW	87	Oral Roberts	83	
2017-1-28	San Francisco	81	Pacific	60	
2017-1-28	Penn State	71	Illinois	67	
2017-1-28	Gonzaga	96	Pepperdine	49	
2017-1-28	Clemson	67	Pitt	60	
2017-1-28	San Diego	68	Portland	52	
2017-1-28	Prairie View	70	Alabama A&M;	65	
2017-1-28	Presbyterian	71	Longwood	62	
2017-1-28	Rhode Island	71	St. Bonaventure	59	
2017-1-28	Rice	84	Charlotte	67	
2017-1-28	Richmond	101	Duquesne	90	
2017-1-28	Wisconsin	61	Rutgers	54	
2017-1-28	Sacramento State	80	Portland State	77	
2017-1-28	Saint Francis (PA)	89	Robert Morris	83	
2017-1-28	St. Joseph's	73	La Salle	72	
2017-1-28	Sam Houston State	71	Southeastern Louisiana	69	
2017-1-28	Colorado State	78	San Diego State	77	
2017-1-28	San Jose State	76	UNLV	72	
2017-1-28	Saint Mary's (CA)	72	Santa Clara	59	
2017-1-28	Seattle	96	Texas-Rio Grande Valley	84	
2017-1-28	South Alabama	78	Georgia Southern	66	
2017-1-28	South Carolina Upstate	79	Kennesaw State	73	
2017-1-28	South Dakota	88	Denver	83	
2017-1-28	Southern Illinois	85	Missouri State	84	
2017-1-28	Northern Colorado	89	Southern Utah	71	
2017-1-28	Stephen F. Austin	71	New Orleans	61	
2017-1-28	Stetson	88	North Florida	74	
2017-1-28	Vermont	71	Stony Brook	64	
2017-1-28	Syracuse	82	Florida State	72	
2017-1-28	Tennessee	70	Kansas State	58	
2017-1-28	Belmont	93	Tennessee State	76	
2017-1-28	Eastern Kentucky	79	Tennessee Tech	66	
2017-1-28	Texas A&M-Corpus; Christi	72	Abilene Christian	60	
2017-1-28	Auburn	88	Texas Christian	80	
2017-1-28	Texas Southern	70	Alabama State	68	
2017-1-28	Texas Tech	77	LSU	64	
2017-1-28	Northern Illinois	74	Toledo	72	
2017-1-28	Georgia State	78	Troy	72	
2017-1-28	Tulsa	77	UCF	66	
2017-1-28	Utah	86	Oregon State	78	
2017-1-28	Utah State	78	Fresno State	65	
2017-1-28	New Mexico State	74	Utah Valley	69	
2017-1-28	Vanderbilt	84	Iowa State	78	
2017-1-28	Samford	69	Virginia Military Institute	67	
2017-1-28	Wagner	66	St. Francis (NY)	64	
2017-1-28	Duke	85	Wake Forest	83	
2017-1-28	West Virginia	81	Texas A&M;	77	
2017-1-28	Western Carolina	68	Wofford	62	
2017-1-28	Western Illinois	78	IUPUI	69	
2017-1-28	Western Kentucky	81	UTSA	66	
2017-1-28	William & Mary	96	North Carolina-Wilmington	78	
2017-1-28	High Point	83	Winthrop	80	
2017-1-28	Boise State	80	Wyoming	65	
2017-1-28	Youngstown State	67	Cleveland State	64	
2017-1-29	Colgate	70	American	65	
2017-1-29	Arizona	77	Washington	66	
2017-1-29	Washington State	91	Arizona State	83	
2017-1-29	Wichita State	64	Bradley	49	
2017-1-29	University of California	66	Stanford	55	
2017-1-29	Cincinnati	94	South Florida	53	
2017-1-29	Detroit	93	Green Bay	92	
2017-1-29	Illinois State	69	Evansville	59	
2017-1-29	Wright State	88	UIC	86	
2017-1-29	Iona	69	St. Peter's	66	
2017-1-29	Louisville	85	North Carolina State	60	
2017-1-29	Binghamton	65	Maine	54	
2017-1-29	Michigan State	70	Michigan	62	
2017-1-29	Nebraska	83	Purdue	80	
2017-1-29	Northwestern	68	Indiana	55	
2017-1-29	Oakland	79	Milwaukee	70	
2017-1-29	Xavier	82	St. John's (NY)	77	
2017-1-29	Valparaiso	65	Northern Kentucky	58	
2017-1-29	Villanova	61	Virginia	59	
2017-1-29	Virginia Tech	85	Boston College	79	
2017-1-3	Akron	89	Bowling Green State	84	
2017-1-3	UCF	48	East Carolina	45	
2017-1-3	UNC	89	Clemson	86	
2017-1-3	Cal State Bakersfield	64	Dartmouth	60	
2017-1-3	Eastern Michigan	85	Central Michigan	63	
2017-1-3	Florida	70	Ole Miss	63	
2017-1-3	Wisconsin	75	Indiana	68	
2017-1-3	Jacksonville	124	Middle Georgia State	85	
2017-1-3	Kansas	90	Kansas State	88	
2017-1-3	Kent State	100	Ball State	90	
2017-1-3	Kentucky	100	Texas A&M;	58	
2017-1-3	North Carolina-Asheville	70	Liberty	57	
2017-1-3	Miami (OH)	69	Northern Illinois	67	
2017-1-3	Alabama	68	Mississippi State	58	
2017-1-3	Ohio	89	Western Michigan	58	
2017-1-3	Rhode Island	88	St. Joseph's	58	
2017-1-3	Dayton	90	St. Bonaventure	74	
2017-1-3	Arkansas	82	Tennessee	78	
2017-1-3	Texas Christian	60	Oklahoma	57	
2017-1-3	Texas Tech	77	West Virginia	76	
2017-1-3	Toledo	86	Buffalo	54	
2017-1-3	Wake Forest	79	Boston College	66	
2017-1-30	Texas State	68	Appalachian State	55	
2017-1-30	Belmont	92	Southern Illinois-Edwardsville	69	
2017-1-30	Rider	72	Canisius	66	
2017-1-30	Coastal Carolina	72	Texas-Arlington	70	
2017-1-30	North Carolina Central	82	Delaware State	74	
2017-1-30	Florida Gulf Coast	74	North Florida	59	
2017-1-30	Grambling	77	Mississippi Valley State	74	
2017-1-30	Hampton	77	Coppin State	65	
2017-1-30	South Carolina State	77	Howard	68	
2017-1-30	Jackson State	74	Arkansas-Pine Bluff	59	
2017-1-30	Boston University	76	Lehigh	59	
2017-1-30	Arkansas State	88	Louisiana-Lafayette	69	
2017-1-30	Louisiana-Monroe	68	Arkansas-Little Rock	52	
2017-1-30	Monmouth	83	Marist	71	
2017-1-30	Savannah State	87	Maryland-Eastern Shore	82	
2017-1-30	Mercer	62	Western Carolina	47	
2017-1-30	Morgan State	77	Florida A&M;	60	
2017-1-30	New Mexico State	98	Northern New Mexico	75	
2017-1-30	Kennesaw State	54	NJIT	53	
2017-1-30	Norfolk State	83	North Carolina A&T;	69	
2017-1-30	Duke	84	Notre Dame	74	
2017-1-30	Oklahoma State	68	Oklahoma	66	
2017-1-30	Prairie View	72	Alabama State	52	
2017-1-30	Siena	84	Quinnipiac	75	
2017-1-30	Georgia State	83	South Alabama	80	
2017-1-30	Lipscomb	92	South Carolina Upstate	80	
2017-1-30	Jacksonville	89	Stetson	86	
2017-1-30	Texas Southern	92	Alabama A&M;	47	
2017-1-30	Troy	83	Georgia Southern	76	
2017-1-30	William & Mary	108	Drexel	85	
2017-1-31	Tennessee	87	Auburn	77	
2017-1-31	Ball State	81	Toledo	80	
2017-1-31	Wake Forest	85	Boston College	80	
2017-1-31	Bowling Green State	83	Miami (OH)	72	
2017-1-31	Buffalo	101	Central Michigan	91	
2017-1-31	Creighton	76	Butler	67	
2017-1-31	Boise State	79	Colorado State	76	
2017-1-31	Georgetown	76	DePaul	73	
2017-1-31	Kent State	70	Eastern Michigan	64	
2017-1-31	Fairfield	78	Manhattan	49	
2017-1-31	Dayton	75	Fordham	66	
